name,website,address,city,state,phone,reviews,rating,logo,query:,email
Valley Hope of Oklahoma City,https://valleyhope.org/locations/oklahoma/oklahoma-city-treatment-center/," 2816 NW 58th St #103, Oklahoma City, OK 73112",Oklahoma City, Oklahoma,(405) 946-7337,5,4.2,https://lh4.googleusercontent.com/-Iy_0qUsjk8Y/AAAAAAAAAAI/AAAAAAAAAAA/9ltldLtHn74/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
The Recovery Center,http://www.trcok.com/," 1215 NW 25th St, Oklahoma City, OK 73106",Oklahoma City, Oklahoma,(405) 525-2525,53,4.0,https://lh3.googleusercontent.com/-upsOCjllvcM/AAAAAAAAAAI/AAAAAAAAAAA/aZb2yW99FJs/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Landmark Recovery of Oklahoma City,https://landmarkrecovery.com/locations/oklahoma-city/?utm_source=google&utm_medium=organic&utm_campaign=gmb-okc," 2412 N Ann Arbor Ave, Oklahoma City, OK 73127",Oklahoma City, Oklahoma,(405) 265-8477,107,4.1,https://lh5.googleusercontent.com/-_q9nOM36h7s/AAAAAAAAAAI/AAAAAAAAAAA/D4XV-o8aOdA/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Avenues Recovery Admissions Center,https://www.avenuesrecovery.com/locations/oklahoma-drug-rehab-center/," 4500 N Lincoln Blvd Suite 105, Oklahoma City, OK 73105",Oklahoma City, Oklahoma,(405) 295-0502,3,3.7,https://lh3.googleusercontent.com/-TjhFvCzzGYY/AAAAAAAAAAI/AAAAAAAAAAA/ujF24ZSVaPM/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Narconon Arrowhead Drug & Alcohol Rehab,https://www.narcononarrowhead.org/," 69 Arrowhead Loop, Canadian, OK 74425",Pittsburg County, Oklahoma,(855) 646-8505,58,4.1,https://lh6.googleusercontent.com/-hWPghoZBgM0/AAAAAAAAAAI/AAAAAAAAAAA/lc-BHSDZ5W8/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
The Salvation Army Adult Rehabilitation Center - Oklahoma City,http://satruck.org/," 2041 NW 7th St, Oklahoma City, OK 73106",Oklahoma City, Oklahoma,(405) 236-3677,21,4.3,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Valley Hope of Cushing,https://valleyhope.org/locations/oklahoma/cushing-treatment-center/," 100 S Jones Ave, Cushing, OK 74023",Cushing, Oklahoma,(918) 225-1736,37,4.1,https://lh3.googleusercontent.com/-cjdL_t3Gy7k/AAAAAAAAAAI/AAAAAAAAAAA/fk23w-jCdOU/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Justin's Lighthouse Recovery Services,http://www.justinslighthouse.com/," 2020 N Council Rd, Oklahoma City, OK 73127",Oklahoma City, Oklahoma,(405) 248-2124,6,4.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Northeastern Oklahoma Council,https://nocacares.org/," 120 E Illinois Ave, Vinita, OK 74301",Vinita, Oklahoma,(918) 256-7171,1,4.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
His & Her House Rehab,https://hisandherhouses.com/,Not Available,Not Available,Not Available,(888) 373-8971,3,3.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
